,textdata_stemm,sentiment
0,ad bravo kodim kolaka,1
1,baik rancang bangun survey lokasi amdal satwa liar pikir kurang peduli perintah picu konflik yg akhir korban dua belah peristiwa sperti,0
2,panglima tni kapolri pakai baju adat jateng wkwkwkwk nih tampak,1
3,hai kak mohon maaf ketidaknyamanannya jaga privasi kakak silah informasi detail kendala dm ya mimin bantu kece,2
4,panglima tni siap operasi pasu batas laut natuna,1
5,jaga satu satu nkri,1
6,tahu giat bentuk komitmen perintah provinsi sumatera barat implementasi guna simdangfmis anggar penatausahaan pertanggungjawaban lapor uang,1
7,remaja jaga jati kuat mudah ikutikutan temen yg salah temen pacar gak ikutikut yah,1
8,jaga jarak politik gak jaga jarak sponsor,1
9,hidup indah jalan tuhan indah jaga alam,2
10,aresee ya ndak gitu konsep nya beban kelompok jaga bersih in syaa allah bersih rapi kerja bawa buang gak nyaponi,1
11,ya allah tau milik ambil ya ya allah ijinkan hamba jaga amanah aamiin syg bgt tiga,1
12,orang impi nyata jaga tidur,1
13,momen haru kopka azmiadi temu panglima tni bangga mimpi,1
14,gak dua dehh wamenhan herindra perintah tetap program tingkat guna produk negeri pdn kerja wamenhan herindra loyal baik ri,1
15,panglima tni junjung percaya hormat bangsa,1
16,ynwa anakkolong moeldoko typo radikalisme,1
17,ku morafia networks dzadina tungga putry angon mbaksri cent rungkad,2
18,pers polsek kota sigli polres pidie laksana patroli dialogis rangka jaga kamtibmas wilkum kota sigli,2
19,salah hasil rekomendasi nu ut dunia jaga selamat alam sdq dukung selamat alam sindoro cegah urus izin tambang pasir alat berat cc polri,1
20,suka nama hilman lembut hafiz jaga and hariz strong dont know why,2
21,perintah kirim bantu manusia turki dansuriah,1
22,deje negara milik veto dewan aman haus kuasa wilayah negara negara yg rakyat buta tuli kondisi buka peluang milik veto utk mengaduadu,1
23,masyarakat dukung perintah lawan radikalisme faham htifpi wahabisme kelas bumn gimana jijik,0
24,sayang anak jaga selamat,2
25,pacar smsan pacar tuh jaga percaya setia,1
26,new arrival hemat daya lang sepeda ofero sepeda sanggup jalan jarak km sobat gadget sepedalistrikofero jaga lingkung polusi kendara,1
27,klu depa pandai otak negara ni sgt aman damai dah depa xde otak klu otak khinzir,1
28,nurani sbg detektor yg dorong narasi yg suguh ulit citracitra yg tampil jaga cahaya fitrah hidup utama yg upaya,2
29,provinsi andal tourisme sumber hasil gak jaga aman model mah orang malas main jogja,0
30,bravo tni,1
31,selamat ulang bank btn inovasi nyaman nasabah moga hadir btn mobile bantu nasabah jaga kualitas layan,1
32,remaja jaga jati kuat mudah ikutikutan temen yg salah temen pacar gak ikutikut yah,1
33,cinta dar milik cinta jaga pelihara cinta,2
34,nu negara rukun damai,1
35,gk orang percaya jaga percaya nder tau batas cerita cerita,2
36,presiden jokowi tekan pasuk tahap milu serentak jaga stabilitas politik aman,1
37,ungkap tambah paham indonesia salah mitra asia tenggara aman negara aman negara,1
38,mahu timbul tafsir intepretasi pelbagai parti peran ros patut jaga ahliahli tubuh,1
39,halo sobat aamp,2
40,netanyahu beliau menandatangani janji normalisasi negara arab janji abraham lebih kali ganda janji damai dahulu tempoh,1
41,bravo tni polri,1
42,ramai yg dh xpandai ckp mandarin tu tp dkt malaysia org cina byk dielek yg still guna utk tutur hari ni sb toleransi dlm jaga bahasa cuma konteks padu nampak yg bhs jd pecah,2
43,bebas jerawat obat frutablend buang jerawatmencerahkan kulit jaga sehat jantung order bbm efb sms,2
44,jaga sama orang tua keluarga mumpung lengkap kasih sempat ramadan bareng,2
45,harap allah sentiasa anugerah kepada apaapa cinta suka sentiasa jaga laksana apaapa cinta suka allah swt,1
46,presiden hadir puncak ingat pers nasional gedung serbaguna perintah provinsi sumatra utara presiden jokowi selamat pers insan pers nasional apresiasi peran bangsa negara,1
47,bravo tni polri jaga nkri sepenuh hati,1
48,kesiansu terharusebenarnya kitaindonesia terimakasih nu garda depan jaga satu ri,1
49,moga aman benarbenar tambah jaga aman masyarakat,1
50,kamis dusun desa kuala gebang bripka abdullah hedi bantu warga nelayan angkat hasil tangkap ikan laut utama selamat laut lengkap alat life jaket jaga rukun nelayan,2
51,mantap bravo tni,1
52,kelompok kriminal senjata kkb papua pimpinanegianus kogoyaseringkali aksi jahat ancam perintah indonesia kelompok teror masyarakat sipil aparat aman,0
53,mari baca tips jaga kerja android updateblog,2
54,jaga sehat jantung tingkat konsentrasi produktivitas tingkat daya kuat sistem kebal darah kontrol kadar gula darah jaga berat badan ideal,1
55,skin barrier lapis lindung kulit fungsi jaga kulit rusa kulit alami sebab rusak skin barrier lho,2
56,tips jaga percaya langgan online bisnis,1
57,indonesia anakanak bunuh diperjualbelikan organ kondisi keri orang tua bawa jemput anakanak sekolah gerbang rumah tutup aman sisi gelap negara indah,0
58,mudahmudahan tetep semangat korupsi negara tikus tikus senang bangun jalan nenggerakan ekonomi mudahmudahan krisis,1
59,polsek muara wis laksana layan buat skck polsek muara wis,0
60,suami istri gagal kerap nilai jaga hormat keluarga,0
61,perintah baik warga kalimantan timur senang kerja ganjar,1
62,jazakallahu khair terima kasih id bantu sampah madrasah moga bantu manfaat serta didik jaga bersih lingkung madrasah,1
63,putus negaranegara serum bersamasama aju kebaya waris benda unesco makna upaya bersamasama jaga lestari kebaya,1
64,seminar korbinmas baharkam polri ta upaya tangkal cegah radikalisme terorisme amp,1
